,ID1,ID2,Jaccard distance,Levenshtein distance
0,191,15,0.9047619047619048,18
1,191,385,0.55,18
2,191,6,0.95,18
3,373,191,0.6,18
4,133,155,0.35294117647058826,18
5,351,155,0.7,18
6,24,191,0.9047619047619048,18
7,191,381,0.7272727272727273,18
8,191,387,0.6666666666666666,18
9,191,386,0.7272727272727273,18
10,364,191,0.65,18
11,353,155,0.7142857142857143,18
12,191,384,0.7142857142857143,18
13,191,375,0.7142857142857143,18
14,191,383,0.7391304347826086,18
15,191,382,0.5714285714285714,18
16,191,380,0.7826086956521741,18
17,191,389,0.6818181818181818,18
18,191,379,0.6190476190476191,18
19,375,191,0.7142857142857143,18
20,191,378,0.7727272727272727,18
21,353,191,0.8260869565217391,18
22,191,216,0.8095238095238095,18
23,191,377,0.7272727272727273,18
24,191,8,0.9523809523809524,18
25,191,16,0.75,18
26,191,17,0.9090909090909092,18
27,372,191,0.7619047619047619,18
28,191,137,0.6666666666666666,18
29,133,191,0.5263157894736842,18
30,191,139,0.3888888888888889,18
31,371,155,0.8260869565217391,18
32,391,155,0.4736842105263158,18
33,349,191,0.65,18
34,388,155,0.5,18
35,391,191,0.4736842105263158,18
36,347,155,0.8095238095238095,18
37,191,35,0.9545454545454546,18
38,191,34,0.8,18
39,191,33,0.9523809523809524,18
40,389,155,0.6818181818181818,18
41,389,191,0.6818181818181818,18
42,347,191,0.8636363636363636,18
43,191,26,0.9090909090909092,18
44,8,191,0.9523809523809524,18
45,191,25,0.75,18
46,388,191,0.5,18
47,191,24,0.9047619047619048,18
48,35,191,0.9545454545454546,18
49,191,376,0.55,18
50,191,388,0.5,18
51,191,136,0.4736842105263158,18
52,395,155,0.6818181818181818,18
53,155,353,0.7142857142857143,18
54,368,155,0.8181818181818182,18
55,394,155,0.5,18
56,155,352,0.5263157894736842,18
57,367,155,0.65,18
58,367,191,0.65,18
59,394,191,0.42105263157894735,18
60,381,191,0.7272727272727273,18
61,395,191,0.6190476190476191,18
62,379,155,0.55,18
63,381,155,0.7272727272727273,18
64,191,391,0.4736842105263158,18
65,366,155,0.8095238095238095,18
66,380,155,0.7272727272727273,18
67,155,347,0.8095238095238095,18
68,378,155,0.7142857142857143,18
69,358,155,0.4444444444444444,18
70,366,191,0.8095238095238095,18
71,358,191,0.5263157894736842,18
72,379,191,0.6190476190476191,18
73,26,191,0.9090909090909092,18
74,363,191,0.8095238095238095,18
75,368,191,0.8181818181818182,18
76,378,191,0.7727272727272727,18
77,380,191,0.7826086956521741,18
78,393,191,0.6,18
79,386,191,0.7272727272727273,18
80,370,191,0.6,18
81,386,155,0.6666666666666666,18
82,351,191,0.8181818181818182,18
83,137,155,0.5263157894736842,18
84,137,191,0.6666666666666666,18
85,385,191,0.55,18
86,352,155,0.5263157894736842,18
87,34,191,0.8,18
88,352,191,0.6666666666666666,18
89,392,155,0.6666666666666666,18
90,6,191,0.95,18
91,344,191,0.9090909090909092,18
92,370,155,0.6666666666666666,18
93,392,191,0.6666666666666666,18
94,191,395,0.6190476190476191,18
95,191,394,0.42105263157894735,18
96,191,393,0.6,18
97,191,392,0.6666666666666666,18
98,385,155,0.4736842105263158,18
99,155,354,0.631578947368421,18
100,371,191,0.7727272727272727,18
101,155,351,0.7,18
102,361,191,0.7,18
103,155,395,0.6818181818181818,18
104,393,155,0.6666666666666666,18
105,191,372,0.7619047619047619,18
106,191,371,0.7727272727272727,18
107,384,191,0.7142857142857143,18
108,191,370,0.6,18
109,384,155,0.65,18
110,354,191,0.7619047619047619,18
111,191,367,0.65,18
112,343,191,0.75,18
113,369,191,0.7619047619047619,18
114,191,368,0.8181818181818182,18
115,155,133,0.35294117647058826,18
116,369,155,0.8181818181818182,18
117,155,394,0.5,18
118,139,155,0.1875,18
119,383,191,0.7391304347826086,18
120,191,361,0.7,18
121,191,358,0.5263157894736842,18
122,354,155,0.631578947368421,18
123,191,344,0.9090909090909092,18
124,360,191,0.8571428571428571,18
125,25,191,0.75,18
126,191,373,0.6,18
127,191,374,0.7727272727272727,18
128,191,369,0.7619047619047619,18
129,191,360,0.8571428571428571,18
130,346,191,0.7,18
131,383,155,0.7391304347826086,18
132,376,191,0.55,18
133,155,392,0.6666666666666666,18
134,155,391,0.4736842105263158,18
135,16,191,0.75,18
136,155,389,0.6818181818181818,18
137,155,388,0.5,18
138,155,387,0.6666666666666666,18
139,191,366,0.8095238095238095,18
140,355,155,0.4444444444444444,18
141,191,364,0.65,18
142,191,363,0.8095238095238095,18
143,155,386,0.6666666666666666,18
144,155,385,0.4736842105263158,18
145,155,384,0.65,18
146,155,383,0.7391304347826086,18
147,155,382,0.5714285714285714,18
148,191,362,0.8636363636363636,18
149,139,191,0.3888888888888889,18
